"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","979","Login berhasil","Chromium","2026-03-18","passed","2026-03-18","","login.spec.js","",""
"","1187","User berhasil checkout produk","Chromium","2026-03-18","passed","2026-03-18","","checkout.spec.js","",""
